name,stuff,link,difficulty,tags,methods,tools
茄汁西葫芦,西葫芦、番茄,https://www.bilibili.com/video/BV17W411g71Q,普通,快手菜,炒,一口大锅
酱爆西葫芦,西葫芦,https://www.bilibili.com/video/BV175411U7LU,简单,,炒,一口大锅
韩式西葫芦饼,西葫芦、鸡蛋,https://www.bilibili.com/video/BV1zJ411W756,简单,,炒,一口大锅
麻酱拌西葫芦丝,西葫芦,https://www.bilibili.com/video/BV1Th411U7nW,简单,凉菜,凉拌,一口大锅
凉拌莴笋丝,莴笋,https://www.bilibili.com/video/BV1Es411j7oy,简单,凉菜,凉拌,一口大锅
莴笋炒肉,莴笋、猪肉,https://www.bilibili.com/video/BV1d3411H7G5,普通,下饭,炒,一口大锅
莴笋炒蛋,莴笋、鸡蛋、胡萝卜,https://www.bilibili.com/video/BV1C7411J7cb,普通,家常菜,炒,一口大锅
清炒莴笋丝,莴笋、胡萝卜,https://www.bilibili.com/video/BV1qK411H7RL,简单,爽口,炒,一口大锅
热炒莴笋叶,莴笋叶,https://www.bilibili.com/video/BV1xJ411M7bc,简单,家常菜,炒,一口大锅
莴笋炒腊肉,莴笋、香肠,https://www.bilibili.com/video/BV1Ms411F7da,简单,,炒,一口大锅
莴笋炒虾仁,莴笋、虾、胡萝卜,https://www.bilibili.com/video/BV1ZT4y1g7Y2,简单,,炒,一口大锅
莴笋泡菜,莴笋,https://www.bilibili.com/video/BV1h741127rS,简单,爽口,泡菜,一口大锅
盖码莴笋,莴笋、猪肉,https://www.bilibili.com/video/BV1aV411v7xw,简单,清爽,盖浇,一口大锅
腌黄瓜,黄瓜,https://www.bilibili.com/video/BV1LN411f77g,简单,酸爽,腌制,一口大锅
酸黄瓜,黄瓜,https://www.bilibili.com/video/BV1ZW411x71N,简单,爽口,腌制,一口大锅
俄式酸黄瓜,黄瓜,https://www.bilibili.com/video/BV1vL4y1a7if,困难,俄式,腌制,一口大锅
酱黄瓜,黄瓜,https://www.bilibili.com/video/BV1y4411T78H,简单,,腌制,一口大锅
拍黄瓜,黄瓜,https://www.bilibili.com/video/BV1RV41167WV,简单,,凉拌,一口大锅
脆口黄瓜,黄瓜,https://www.bilibili.com/video/BV1Tb4y1X7ow,简单,脆口,凉拌,一口大锅
蓑衣黄瓜,黄瓜,https://www.bilibili.com/video/BV1Wa411C7Gc,简单,,凉拌,一口大锅
黄瓜翡翠羹,黄瓜、鸡胸肉,https://www.bilibili.com/video/BV1y3411W7Mz,困难,国宴菜,煮,一口大锅
黄瓜钱炒肉,黄瓜、猪肉,https://www.bilibili.com/video/BV1WS4y1r7Tx,普通,,炒,一口大锅
黄瓜炒鸡蛋,黄瓜、鸡蛋,https://www.bilibili.com/video/BV1y441147r5,简单,,炒,一口大锅
